START_DT,DAYS,STUDIO,COURSE_ID,CLASS_NBR
17-OCT-2013,THURSDAY,2,147042,87254
17-OCT-2013,THURSDAY,2,153816,86593
17-OCT-2013,THURSDAY,3,110571,86282
17-OCT-2013,THURSDAY,3,110651,86218
17-OCT-2013,THURSDAY,3,126776,86283
17-OCT-2013,THURSDAY,3,127061,86243
17-OCT-2013,THURSDAY,3,134956,87271
17-OCT-2013,THURSDAY,3,201138,87596
18-OCT-2013,FRIDAY,2,154016,86609
18-OCT-2013,FRIDAY,3,136041,87891
21-OCT-2013,MONDAY,1,118741,89175
21-OCT-2013,MONDAY,1,118926,89592
21-OCT-2013,MONDAY,1,118931,89602
21-OCT-2013,MONDAY,1,121546,89337
21-OCT-2013,MONDAY,1,157466,88643
21-OCT-2013,MONDAY,1,157551,84449
21-OCT-2013,MONDAY,2,100796,90079
21-OCT-2013,MONDAY,2,100861,88294
21-OCT-2013,MONDAY,2,154741,85959
21-OCT-2013,MONDAY,2,201066,89202
21-OCT-2013,MONDAY,3,105911,87522
21-OCT-2013,MONDAY,3,154686,85963
21-OCT-2013,MONDAY,3,154756,85960
21-OCT-2013,MONDAY,3,157556,85249
21-OCT-2013,MONDAY,3,158706,87981
22-OCT-2013,TUESDAY,1,111101,86767
22-OCT-2013,TUESDAY,1,118836,89049
22-OCT-2013,TUESDAY,1,154706,86076
22-OCT-2013,TUESDAY,1,154706,89623
22-OCT-2013,TUESDAY,1,157451,85161
22-OCT-2013,TUESDAY,2,108291,89560
22-OCT-2013,TUESDAY,2,136221,87919
22-OCT-2013,TUESDAY,2,147042,87254
22-OCT-2013,TUESDAY,3,110571,86282
22-OCT-2013,TUESDAY,3,110651,86218
22-OCT-2013,TUESDAY,3,126776,86283
22-OCT-2013,TUESDAY,3,127061,86243
22-OCT-2013,TUESDAY,3,134956,87271
22-OCT-2013,TUESDAY,3,201138,87596
23-OCT-2013,WEDNESDAY,1,118741,89177
23-OCT-2013,WEDNESDAY,1,157466,88643
23-OCT-2013,WEDNESDAY,1,157551,84449
23-OCT-2013,WEDNESDAY,2,100796,90079
23-OCT-2013,WEDNESDAY,2,100861,88294
23-OCT-2013,WEDNESDAY,2,154741,85959
23-OCT-2013,WEDNESDAY,2,190776,90574
23-OCT-2013,WEDNESDAY,2,201066,89202
23-OCT-2013,WEDNESDAY,3,118881,89065
23-OCT-2013,WEDNESDAY,3,154686,85963
23-OCT-2013,WEDNESDAY,3,154756,85960
23-OCT-2013,WEDNESDAY,3,157556,85249
24-OCT-2013,THURSDAY,1,111101,86767
24-OCT-2013,THURSDAY,1,154706,86076
24-OCT-2013,THURSDAY,1,154706,89623
24-OCT-2013,THURSDAY,1,157451,85161
24-OCT-2013,THURSDAY,2,136221,87919
24-OCT-2013,THURSDAY,2,147042,87254
24-OCT-2013,THURSDAY,2,153816,86593
24-OCT-2013,THURSDAY,3,110571,86282
24-OCT-2013,THURSDAY,3,110651,86218
24-OCT-2013,THURSDAY,3,126776,86283
24-OCT-2013,THURSDAY,3,127061,86243
24-OCT-2013,THURSDAY,3,134956,87271
24-OCT-2013,THURSDAY,3,201138,87596
25-OCT-2013,FRIDAY,2,154016,86609
25-OCT-2013,FRIDAY,3,136041,87891
28-OCT-2013,MONDAY,1,118741,89175
28-OCT-2013,MONDAY,1,118926,89592
28-OCT-2013,MONDAY,1,118931,89602
28-OCT-2013,MONDAY,1,121546,89337
28-OCT-2013,MONDAY,1,157466,88643
28-OCT-2013,MONDAY,1,157551,84449
28-OCT-2013,MONDAY,2,100796,90079
28-OCT-2013,MONDAY,2,100861,88294
28-OCT-2013,MONDAY,2,154741,85959
28-OCT-2013,MONDAY,2,201066,89202
28-OCT-2013,MONDAY,3,105911,87522
28-OCT-2013,MONDAY,3,154686,85963
28-OCT-2013,MONDAY,3,154756,85960
28-OCT-2013,MONDAY,3,157556,85249
28-OCT-2013,MONDAY,3,158706,87981
29-OCT-2013,TUESDAY,1,111101,86767
29-OCT-2013,TUESDAY,1,118836,89049
29-OCT-2013,TUESDAY,1,154706,86076
29-OCT-2013,TUESDAY,1,154706,89623
29-OCT-2013,TUESDAY,1,157451,85161
29-OCT-2013,TUESDAY,2,108291,89560
29-OCT-2013,TUESDAY,2,136221,87919
29-OCT-2013,TUESDAY,2,147042,87254
29-OCT-2013,TUESDAY,3,110571,86282
29-OCT-2013,TUESDAY,3,110651,86218
29-OCT-2013,TUESDAY,3,126776,86283
29-OCT-2013,TUESDAY,3,127061,86243
29-OCT-2013,TUESDAY,3,134956,87271
29-OCT-2013,TUESDAY,3,201138,87596
30-OCT-2013,WEDNESDAY,1,118741,89177
30-OCT-2013,WEDNESDAY,1,157466,88643
30-OCT-2013,WEDNESDAY,1,157551,84449
30-OCT-2013,WEDNESDAY,2,100796,90079
30-OCT-2013,WEDNESDAY,2,100861,88294
30-OCT-2013,WEDNESDAY,2,154741,85959
30-OCT-2013,WEDNESDAY,2,190776,90574
30-OCT-2013,WEDNESDAY,2,201066,89202
30-OCT-2013,WEDNESDAY,3,118881,89065
30-OCT-2013,WEDNESDAY,3,154686,85963
30-OCT-2013,WEDNESDAY,3,154756,85960
30-OCT-2013,WEDNESDAY,3,157556,85249
31-OCT-2013,THURSDAY,1,111101,86767
31-OCT-2013,THURSDAY,1,154706,86076
31-OCT-2013,THURSDAY,1,154706,89623
31-OCT-2013,THURSDAY,1,157451,85161
31-OCT-2013,THURSDAY,2,136221,87919
31-OCT-2013,THURSDAY,2,147042,87254
31-OCT-2013,THURSDAY,2,153816,86593
31-OCT-2013,THURSDAY,3,110571,86282
31-OCT-2013,THURSDAY,3,110651,86218
31-OCT-2013,THURSDAY,3,126776,86283
31-OCT-2013,THURSDAY,3,127061,86243
31-OCT-2013,THURSDAY,3,134956,87271
31-OCT-2013,THURSDAY,3,201138,87596
01-NOV-2013,FRIDAY,2,154016,86609
01-NOV-2013,FRIDAY,3,136041,87891
04-NOV-2013,MONDAY,1,118741,89175
04-NOV-2013,MONDAY,1,118926,89592
04-NOV-2013,MONDAY,1,118931,89602
04-NOV-2013,MONDAY,1,121546,89337
04-NOV-2013,MONDAY,1,157466,88643
04-NOV-2013,MONDAY,1,157551,84449
04-NOV-2013,MONDAY,2,100796,90079
04-NOV-2013,MONDAY,2,100861,88294
04-NOV-2013,MONDAY,2,154741,85959
04-NOV-2013,MONDAY,2,201066,89202
04-NOV-2013,MONDAY,3,105911,87522
04-NOV-2013,MONDAY,3,154686,85963
04-NOV-2013,MONDAY,3,154756,85960
04-NOV-2013,MONDAY,3,157556,85249
04-NOV-2013,MONDAY,3,158706,87981
05-NOV-2013,TUESDAY,1,111101,86767
05-NOV-2013,TUESDAY,1,118836,89049
05-NOV-2013,TUESDAY,1,154706,86076
05-NOV-2013,TUESDAY,1,154706,89623
05-NOV-2013,TUESDAY,1,157451,85161
05-NOV-2013,TUESDAY,2,108291,89560
05-NOV-2013,TUESDAY,2,136221,87919
05-NOV-2013,TUESDAY,2,147042,87254
05-NOV-2013,TUESDAY,3,110571,86282
05-NOV-2013,TUESDAY,3,110651,86218
05-NOV-2013,TUESDAY,3,126776,86283
05-NOV-2013,TUESDAY,3,127061,86243
05-NOV-2013,TUESDAY,3,134956,87271
05-NOV-2013,TUESDAY,3,201138,87596
06-NOV-2013,WEDNESDAY,1,118741,89177
06-NOV-2013,WEDNESDAY,1,157466,88643
06-NOV-2013,WEDNESDAY,1,157551,84449
06-NOV-2013,WEDNESDAY,2,100796,90079
06-NOV-2013,WEDNESDAY,2,100861,88294
06-NOV-2013,WEDNESDAY,2,154741,85959
06-NOV-2013,WEDNESDAY,2,190776,90574
06-NOV-2013,WEDNESDAY,2,201066,89202
06-NOV-2013,WEDNESDAY,3,118881,89065
06-NOV-2013,WEDNESDAY,3,154686,85963
06-NOV-2013,WEDNESDAY,3,154756,85960
06-NOV-2013,WEDNESDAY,3,157556,85249
07-NOV-2013,THURSDAY,1,111101,86767
07-NOV-2013,THURSDAY,1,154706,86076
07-NOV-2013,THURSDAY,1,154706,89623
07-NOV-2013,THURSDAY,1,157451,85161
07-NOV-2013,THURSDAY,2,136221,87919
07-NOV-2013,THURSDAY,2,147042,87254
07-NOV-2013,THURSDAY,2,153816,86593
07-NOV-2013,THURSDAY,3,110571,86282
07-NOV-2013,THURSDAY,3,110651,86218
07-NOV-2013,THURSDAY,3,126776,86283
07-NOV-2013,THURSDAY,3,127061,86243
07-NOV-2013,THURSDAY,3,134956,87271
07-NOV-2013,THURSDAY,3,201138,87596
08-NOV-2013,FRIDAY,2,154016,86609
08-NOV-2013,FRIDAY,3,136041,87891
11-NOV-2013,MONDAY,1,118741,89175
11-NOV-2013,MONDAY,1,118926,89592
11-NOV-2013,MONDAY,1,118931,89602
11-NOV-2013,MONDAY,1,121546,89337
11-NOV-2013,MONDAY,1,157466,88643
11-NOV-2013,MONDAY,1,157551,84449
11-NOV-2013,MONDAY,2,100796,90079
11-NOV-2013,MONDAY,2,100861,88294
11-NOV-2013,MONDAY,2,154741,85959
11-NOV-2013,MONDAY,2,201066,89202
11-NOV-2013,MONDAY,3,105911,87522
11-NOV-2013,MONDAY,3,154686,85963
11-NOV-2013,MONDAY,3,154756,85960
11-NOV-2013,MONDAY,3,157556,85249
11-NOV-2013,MONDAY,3,158706,87981
12-NOV-2013,TUESDAY,1,111101,86767
12-NOV-2013,TUESDAY,1,118836,89049
12-NOV-2013,TUESDAY,1,154706,86076
12-NOV-2013,TUESDAY,1,154706,89623
12-NOV-2013,TUESDAY,1,157451,85161
12-NOV-2013,TUESDAY,2,108291,89560
12-NOV-2013,TUESDAY,2,136221,87919
12-NOV-2013,TUESDAY,2,147042,87254
12-NOV-2013,TUESDAY,3,110571,86282
12-NOV-2013,TUESDAY,3,110651,86218
12-NOV-2013,TUESDAY,3,126776,86283
12-NOV-2013,TUESDAY,3,127061,86243
12-NOV-2013,TUESDAY,3,134956,87271
12-NOV-2013,TUESDAY,3,201138,87596
